type,w_acc,w_miss,w_drowsy,ARI,NMI,Spearman_r,Pct_Match
Grid Sweep,0.8,0.3,0.1,0.5328946582753143,0.6595996129135926,0.966913166120302,85.18518518518519
Grid Sweep,0.8,0.3,0.3,0.8642449271237654,0.8613839566678331,0.9858199283372724,96.29629629629629
Grid Sweep,0.8,0.3,0.5,0.6161215456588803,0.6471352782207743,0.9618815277883663,87.03703703703704
Grid Sweep,0.8,0.3,0.7,0.22354856212696692,0.4156378948688361,0.9149958069680567,64.81481481481481
Grid Sweep,0.8,0.5,0.0,0.664500884796986,0.5934233494294725,0.9348936494625296,87.03703703703704
Grid Sweep,0.8,0.5,0.1,0.7568299633933616,0.7327682036812452,0.9727834108408936,90.74074074074075
Grid Sweep,0.8,0.5,0.3,0.7265172423005077,0.7110222602792922,0.9884119844476634,88.88888888888889
Grid Sweep,0.8,0.5,0.5,0.7265172423005077,0.7110222602792922,0.9704963025081955,88.88888888888889
Grid Sweep,0.8,0.5,0.7,0.45159693249754523,0.54118208835772,0.9403064725165815,75.92592592592592
Grid Sweep,0.8,0.7,0.0,0.586986593659871,0.6181825503668967,0.9092017991918884,83.33333333333334
Grid Sweep,0.8,0.7,0.1,0.7568299633933616,0.7327682036812452,0.9391629183502325,90.74074074074075
Grid Sweep,0.8,0.7,0.3,0.6677037460210471,0.6694878428821937,0.9433559502935123,87.03703703703704
Grid Sweep,0.8,0.7,0.5,0.6677037460210471,0.6694878428821937,0.9323015933521385,87.03703703703704
Grid Sweep,0.8,0.7,0.7,0.48253890403670946,0.5591559932041168,0.92277197529923,75.92592592592592
Grid Sweep,0.8,1.0,0.0,0.5059666312525302,0.48655816344286934,0.8621636044827323,79.62962962962963
Grid Sweep,0.8,1.0,0.1,0.514889183792432,0.5759903846727825,0.8762674392010369,79.62962962962963
Grid Sweep,0.8,1.0,0.3,0.4971395222758601,0.5665112037038154,0.8909049325303042,77.77777777777779
Grid Sweep,0.8,1.0,0.5,0.48253890403670946,0.5591559932041168,0.8848059769764429,75.92592592592592
Grid Sweep,0.8,1.0,0.7,0.34566172555490976,0.39684574325136085,0.8804604711443166,74.07407407407408
Grid Sweep,1.0,0.1,0.0,0.21228881311914377,0.283584694022874,0.769688190897309,68.51851851851852
